oad_Type,Road_Condition,Weather_Condition,Vehicle_Speed,Speed_Limit,Vehicle_Type,Temperature,Humidity,Visibility,T_Junction,Crossing,Stop_Signal,Railway_Crossing,Speed_Breaker,Severity_Level
Urban,Dry,Rainy,33,50,Bus,28,73,57,1,1,1,0,1,Medium
Highway,Dry,Fog,88,80,Car,22,90,36,1,1,0,0,1,Medium
Urban,Damaged,Fog,45,50,Bike,24,86,27,0,0,0,1,1,Medium
Urban,Dry,Cloudy,51,50,Bus,24,49,70,1,0,1,1,0,Medium
Rural,Wet,Cloudy,24,40,Bus,25,69,81,0,1,0,0,0,Low
Rural,Dry,Cloudy,29,40,Car,27,66,68,0,0,1,0,1,Low
Rural,Dry,Rainy,56,40,Bike,26,80,56,0,1,0,0,1,Medium
Urban,Damaged,Storm,52,50,Bike,27,88,31,0,0,1,0,1,High
Urban,Dry,Fog,61,50,Truck,18,93,47,1,1,1,0,1,Medium
Highway,Dry,Cloudy,88,80,Bike,27,69,96,0,0,0,0,1,Low
Rural,Dry,Storm,35,40,Bus,20,90,20,1,0,0,1,1,Medium
Urban,Dry,Storm,44,50,Car,25,96,14,1,0,0,0,0,Medium
Rural,Wet,Rainy,52,40,Bus,22,86,53,0,0,0,0,1,Medium
Highway,Wet,Sunny,60,80,Truck,32,30,67,1,1,0,1,1,Medium
Urban,Dry,Cloudy,44,50,Truck,30,56,90,0,1,0,1,0,Low
Highway,Wet,Fog,68,80,Bus,21,85,43,0,0,1,0,0,Medium
Highway,Damaged,Cloudy,103,80,Truck,30,50,95,0,1,0,1,0,Medium
Rural,Damaged,Sunny,29,40,Bus,29,37,74,0,1,0,0,1,Low
Urban,Dry,Rainy,35,50,Bus,24,74,65,0,0,1,0,0,Low
Rural,Dry,Storm,20,40,Bike,22,86,27,0,1,0,0,0,Medium
Rural,Wet,Fog,62,40,Car,24,95,18,0,1,0,1,0,High
Urban,Wet,Fog,35,50,Bus,20,88,26,0,1,1,1,1,High
Highway,Damaged,Rainy,62,80,Car,23,92,51,0,1,1,1,1,Medium
Urban,Dry,Fog,32,50,Truck,24,88,40,0,0,1,1,1,Low
Highway,Wet,Fog,60,80,Car,21,92,35,1,1,0,1,1,High
Highway,Dry,Cloudy,116,80,Car,26,43,90,1,1,1,1,1,Medium
Rural,Dry,Cloudy,37,40,Bus,28,54,72,0,1,0,0,1,Low
Rural,Wet,Sunny,55,40,Bus,33,50,93,0,1,1,1,1,Medium
Rural,Wet,Sunny,63,40,Bike,38,34,78,1,0,1,0,0,Medium
Rural,Wet,Sunny,48,40,Car,29,52,63,1,0,0,1,0,Medium
Rural,Dry,Fog,43,40,Bus,20,99,43,0,0,0,1,0,Medium
Highway,Wet,Storm,72,80,Car,24,97,37,1,1,0,0,0,Medium
Urban,Wet,Rainy,45,50,Bus,25,80,69,0,1,0,0,0,Medium
Highway,Dry,Storm,68,80,Bus,23,86,47,1,1,1,1,1,Medium
Rural,Wet,Sunny,61,40,Car,34,54,94,1,0,0,1,1,Medium
Urban,Damaged,Cloudy,63,50,Truck,30,55,88,0,0,0,1,0,Medium
Rural,Damaged,Fog,40,40,Bus,23,97,19,0,1,1,0,0,Medium
Rural,Dry,Rainy,66,40,Car,25,72,55,0,0,1,0,1,Medium
Rural,Wet,Storm,69,40,Bus,24,85,13,0,1,1,1,1,High
Highway,Dry,Cloudy,61,80,Truck,30,62,68,0,1,0,0,0,Low
Highway,Dry,Sunny,71,80,Car,29,48,66,0,0,1,0,0,Low
Highway,Wet,Rainy,71,80,Bike,22,84,60,0,1,0,0,0,Medium
Rural,Wet,Fog,44,40,Bike,22,97,46,0,0,0,0,0,Medium
Urban,Dry,Storm,76,50,Car,26,94,33,0,1,1,1,1,High
Urban,Dry,Storm,62,50,Truck,25,83,15,1,0,1,1,1,High
Urban,Dry,Storm,52,50,Car,24,97,18,0,1,1,0,0,Medium
Highway,Wet,Rainy,99,80,Truck,26,80,56,1,0,1,1,0,High
Urban,Dry,Fog,71,50,Bus,19,92,36,1,0,0,0,1,Medium
Urban,Damaged,Storm,55,50,Bus,22,97,10,0,1,1,0,0,High
Highway,Dry,Cloudy,73,80,Bus,31,62,69,0,1,0,1,1,Low
Rural,Wet,Cloudy,25,40,Truck,30,54,85,0,1,1,0,0,Low
Rural,Damaged,Sunny,44,40,Bus,31,37,82,1,0,0,0,1,Medium
Highway,Wet,Rainy,93,80,Bike,26,91,39,0,1,0,0,0,High
Urban,Damaged,Fog,65,50,Bus,20,97,45,1,1,1,1,0,High
Urban,Dry,Sunny,69,50,Truck,38,41,87,0,0,1,0,1,Low
Highway,Dry,Cloudy,63,80,Car,25,47,60,0,0,0,0,1,Low
Urban,Dry,Sunny,37,50,Bus,33,49,67,1,0,0,1,1,Low
Urban,Wet,Fog,64,50,Bike,21,88,42,1,1,0,1,1,High
Rural,Damaged,Fog,68,40,Bike,24,98,43,0,1,0,1,0,Medium
Highway,Damaged,Storm,80,80,Truck,21,96,15,1,1,1,1,1,High
Highway,Dry,Cloudy,63,80,Bike,26,55,71,0,0,1,0,0,Low
Urban,Dry,Storm,71,50,Bus,21,90,44,0,0,0,0,0,Medium
Urban,Dry,Cloudy,40,50,Bike,27,50,77,1,1,0,1,0,Low
Highway,Wet,Rainy,110,80,Car,22,76,67,0,0,1,1,1,Medium
Highway,Damaged,Storm,86,80,Truck,27,82,48,1,1,0,0,1,Medium
Rural,Damaged,Storm,62,40,Bus,27,86,47,0,0,1,1,1,Medium
Rural,Damaged,Storm,36,40,Bus,27,92,25,1,0,1,0,1,Medium
Urban,Dry,Storm,44,50,Car,20,84,21,1,0,0,1,0,Medium
Urban,Wet,Fog,78,50,Car,21,97,33,0,1,0,0,0,High
Urban,Dry,Storm,65,50,Bus,22,86,14,1,0,1,1,0,High
Urban,Wet,Cloudy,65,50,Truck,27,48,93,0,0,0,0,1,Medium
Highway,Damaged,Cloudy,75,80,Bike,27,55,70,0,0,1,1,1,Low
Highway,Wet,Fog,74,80,Bus,23,95,44,1,0,0,0,0,Medium
Rural,Dry,Storm,42,40,Bus,27,82,24,1,0,0,0,0,Medium
Highway,Damaged,Storm,109,80,Bike,21,86,49,1,0,1,1,0,High
Urban,Wet,Storm,44,50,Car,23,83,36,0,1,0,1,0,Medium
Rural,Dry,Sunny,45,40,Bike,31,51,66,1,0,0,0,0,Low
Rural,Dry,Fog,35,40,Truck,23,94,44,0,1,0,1,1,Low
Highway,Dry,Storm,64,80,Car,26,90,10,1,0,1,1,1,Medium
Highway,Damaged,Cloudy,80,80,Bike,29,60,74,0,0,0,0,0,Low
Highway,Dry,Sunny,97,80,Bike,32,46,84,1,0,1,0,1,Low
Urban,Damaged,Rainy,53,50,Bike,24,91,61,0,0,0,1,0,Medium
Highway,Dry,Cloudy,101,80,Bus,30,53,60,0,1,1,1,1,Medium
Rural,Dry,Sunny,39,40,Car,29,36,78,1,1,1,0,1,Low
Urban,Damaged,Cloudy,63,50,Car,24,59,90,0,1,1,1,1,Medium
Rural,Wet,Cloudy,30,40,Bike,24,54,77,1,0,1,0,0,Low
Rural,Dry,Cloudy,48,40,Truck,26,46,95,0,1,1,1,0,Medium
Urban,Dry,Fog,53,50,Bike,21,88,14,1,0,0,0,0,Medium
Highway,Dry,Storm,75,80,Bike,24,82,47,1,0,1,1,1,Medium
Highway,Dry,Fog,68,80,Car,20,95,43,0,0,1,0,1,Low
Rural,Dry,Fog,25,40,Bus,21,98,47,1,1,0,0,0,Low
Urban,Dry,Fog,59,50,Truck,22,88,21,1,0,0,0,1,Medium
Urban,Dry,Sunny,76,50,Car,38,44,77,0,1,0,1,0,Low
Highway,Dry,Cloudy,103,80,Bike,26,61,82,0,1,0,1,0,Low
Rural,Dry,Rainy,28,40,Car,25,76,64,1,1,0,0,0,Low
Urban,Dry,Sunny,76,50,Bike,34,54,74,1,1,1,1,0,Medium
Highway,Wet,Cloudy,115,80,Bus,26,48,89,1,0,0,1,0,Medium
Urban,Damaged,Fog,72,50,Car,23,92,30,0,0,0,1,1,High
Rural,Wet,Storm,31,40,Truck,25,96,29,0,0,0,1,0,Medium
Highway,Dry,Fog,100,80,Bike,19,92,37,0,1,1,0,1,Medium
Rural,Dry,Cloudy,40,40,Bus,31,48,70,1,0,0,0,1,Low
Urban,Dry,Rainy,43,50,Bus,24,74,46,1,0,0,0,0,Low
Rural,Dry,Cloudy,66,40,Bike,30,58,69,1,0,1,1,0,Medium
Rural,Wet,Rainy,57,40,Truck,24,85,54,1,1,1,1,0,High
Highway,Dry,Sunny,115,80,Truck,39,49,60,1,0,0,1,1,Low
Highway,Wet,Storm,73,80,Bike,23,97,10,0,0,0,1,1,Medium
Highway,Wet,Sunny,104,80,Bike,31,48,61,0,1,0,0,0,Medium
Highway,Dry,Cloudy,119,80,Car,26,67,71,1,1,1,0,1,Medium
Highway,Wet,Rainy,78,80,Car,27,71,35,0,0,1,0,0,Medium
Rural,Wet,Cloudy,60,40,Bike,28,43,85,1,1,1,1,0,Medium
Urban,Damaged,Cloudy,31,50,Bike,31,51,69,0,1,0,0,0,Low
Urban,Dry,Sunny,50,50,Truck,34,44,62,1,1,0,1,1,Low
Rural,Wet,Rainy,55,40,Truck,28,80,36,1,1,0,0,0,High
Highway,Damaged,Storm,79,80,Bike,25,88,45,0,1,0,0,1,Medium
Rural,Dry,Rainy,68,40,Truck,25,88,41,0,1,1,0,0,Medium
Urban,Dry,Cloudy,39,50,Bike,30,63,66,0,0,0,1,0,Low
Highway,Dry,Fog,60,80,Car,19,86,42,1,0,1,0,1,Low
Urban,Wet,Storm,72,50,Bus,20,99,13,1,1,1,1,0,High
Urban,Wet,Sunny,69,50,Car,39,34,60,1,1,0,1,0,Medium
Rural,Dry,Rainy,47,40,Car,23,81,33,1,0,1,1,0,High
Rural,Damaged,Cloudy,47,40,Bus,26,57,73,1,1,0,1,1,Medium
Urban,Wet,Sunny,36,50,Car,28,39,61,1,0,1,1,0,Medium
Highway,Damaged,Sunny,85,80,Truck,29,59,86,0,0,1,0,1,Medium
Urban,Dry,Rainy,77,50,Truck,22,89,61,0,1,1,1,0,Medium
Urban,Dry,Rainy,68,50,Truck,26,80,44,1,0,0,1,0,Medium
Urban,Dry,Fog,58,50,Truck,22,87,21,1,1,0,1,1,High
Urban,Dry,Cloudy,62,50,Bike,30,43,84,1,1,1,1,1,Medium
Highway,Dry,Fog,67,80,Bus,22,98,45,0,1,0,0,0,Low
Rural,Dry,Fog,67,40,Bus,22,95,21,1,0,0,1,0,Medium
Urban,Wet,Cloudy,70,50,Bike,31,60,69,0,1,0,1,0,Medium
Urban,Wet,Storm,60,50,Car,20,94,28,1,1,1,1,0,High
Urban,Dry,Rainy,62,50,Car,25,94,52,1,0,1,1,0,Medium
Urban,Damaged,Rainy,68,50,Bus,28,79,31,0,1,1,0,1,High
Urban,Dry,Rainy,63,50,Car,24,88,69,1,0,0,1,0,Medium
Urban,Wet,Cloudy,30,50,Bike,24,68,80,1,0,0,0,1,Low
Rural,Dry,Cloudy,41,40,Car,28,57,90,1,1,1,0,0,Medium
Urban,Dry,Cloudy,51,50,Truck,24,42,70,0,1,0,0,0,Low
Urban,Wet,Fog,41,50,Car,18,86,46,1,0,1,1,0,Medium
Highway,Dry,Fog,68,80,Car,20,89,12,1,1,0,0,1,Medium
Rural,Dry,Rainy,56,40,Truck,29,92,47,0,0,0,1,1,Medium
Urban,Wet,Rainy,59,50,Bus,27,86,69,1,1,0,1,0,High
Rural,Dry,Storm,67,40,Bike,22,96,33,0,0,0,1,1,Medium
Highway,Wet,Fog,82,80,Bike,18,90,21,0,0,1,0,0,High
Highway,Damaged,Sunny,88,80,Bus,28,40,60,0,0,0,0,0,Medium
Highway,Wet,Cloudy,87,80,Truck,27,58,87,1,0,0,0,1,Medium
Urban,Damaged,Storm,74,50,Truck,24,99,32,1,1,0,1,1,High
Rural,Dry,Storm,60,40,Truck,20,93,17,1,0,1,1,1,High
Urban,Dry,Fog,65,50,Bike,23,85,12,0,1,0,0,1,Medium
Urban,Damaged,Sunny,47,50,Bike,39,35,73,0,1,1,1,1,Medium
Highway,Damaged,Fog,65,80,Bike,22,99,10,0,1,1,1,0,High
Highway,Dry,Sunny,88,80,Bike,35,53,91,1,0,0,0,1,Low
Rural,Dry,Storm,52,40,Car,23,87,17,0,1,0,1,0,Medium
Rural,Dry,Fog,21,40,Car,23,94,18,1,0,1,0,0,Medium
Highway,Wet,Storm,63,80,Car,27,86,49,1,1,1,1,1,Medium
Urban,Damaged,Cloudy,40,50,Bike,26,62,92,0,0,0,0,1,Low
Rural,Damaged,Sunny,20,40,Car,31,59,83,0,1,0,1,0,Low
Rural,Wet,Rainy,62,40,Bike,22,93,61,1,1,1,1,0,High
Rural,Damaged,Fog,38,40,Bus,20,90,35,0,0,0,0,0,Medium
Urban,Dry,Cloudy,67,50,Truck,29,57,78,1,1,0,0,1,Low
Rural,Damaged,Sunny,60,40,Car,36,56,60,0,1,0,1,0,Medium
Highway,Wet,Sunny,102,80,Truck,33,56,74,1,0,1,0,1,Medium
Rural,Wet,Rainy,23,40,Truck,29,86,38,0,0,0,1,1,Medium
Urban,Dry,Rainy,60,50,Bus,27,93,58,1,1,0,0,0,Medium
Rural,Dry,Storm,24,40,Bus,22,96,18,1,0,1,0,1,Medium
Highway,Dry,Storm,80,80,Bus,26,99,35,1,0,1,1,1,Medium
Rural,Dry,Fog,67,40,Truck,20,97,22,1,0,1,0,0,Medium
Rural,Wet,Rainy,39,40,Car,23,80,35,1,0,1,1,1,High
Highway,Damaged,Rainy,61,80,Car,28,78,39,0,0,0,0,1,Medium
Highway,Dry,Rainy,87,80,Bike,27,83,34,1,0,0,0,0,Medium
Rural,Dry,Fog,30,40,Bus,20,87,45,0,1,0,0,1,Low
Rural,Wet,Fog,46,40,Car,21,92,32,0,1,0,1,0,High
Rural,Dry,Storm,20,40,Bus,24,81,20,1,0,0,1,1,Medium
Highway,Dry,Rainy,90,80,Car,22,81,54,1,1,1,0,0,Medium
Rural,Damaged,Fog,21,40,Car,20,92,19,0,1,0,1,0,Medium
Rural,Wet,Rainy,63,40,Car,28,94,44,1,0,1,0,1,Medium
Rural,Wet,Sunny,32,40,Bike,30,45,65,0,1,1,1,1,Medium
Rural,Dry,Fog,40,40,Bike,21,85,17,0,0,0,1,1,Medium
Urban,Dry,Sunny,66,50,Bike,39,32,74,0,0,1,0,0,Low
Rural,Dry,Fog,29,40,Bus,24,96,30,1,0,0,1,1,Medium
Rural,Dry,Rainy,43,40,Bike,26,77,50,0,1,0,0,1,Medium
Highway,Dry,Rainy,88,80,Bike,26,87,65,1,0,0,1,0,Medium
Rural,Wet,Cloudy,39,40,Car,27,50,78,0,0,1,1,0,Low
Rural,Damaged,Sunny,42,40,Bus,38,53,94,1,1,0,0,1,Medium
Rural,Dry,Rainy,46,40,Truck,22,79,40,0,1,0,1,1,Medium
Highway,Dry,Storm,113,80,Car,27,81,49,0,0,0,0,1,Medium
Highway,Wet,Fog,90,80,Bike,20,93,24,0,0,0,0,0,High
Rural,Dry,Rainy,62,40,Truck,25,88,47,0,0,0,1,1,Medium
Rural,Wet,Fog,41,40,Truck,19,85,16,1,1,0,0,0,High
Highway,Dry,Cloudy,64,80,Truck,26,49,92,1,1,1,0,0,Low
Highway,Dry,Sunny,86,80,Truck,32,36,89,1,0,0,1,0,Low
Highway,Dry,Fog,117,80,Car,19,89,49,0,0,0,0,0,Medium
Highway,Wet,Sunny,95,80,Car,29,52,82,1,0,1,1,1,Medium
Rural,Wet,Sunny,48,40,Bus,30,58,77,1,1,0,0,1,Medium
Urban,Damaged,Sunny,73,50,Car,33,52,65,1,0,0,0,0,Medium
Rural,Wet,Storm,69,40,Car,27,91,11,0,1,0,1,1,High
Highway,Dry,Sunny,109,80,Bus,29,54,69,1,0,1,0,0,Low
Urban,Dry,Cloudy,35,50,Bike,28,45,65,0,1,1,1,1,Low
Rural,Damaged,Cloudy,60,40,Bike,27,47,62,1,1,0,1,1,Medium
Rural,Dry,Rainy,43,40,Bike,26,92,34,1,0,1,0,1,Medium
Rural,Dry,Cloudy,60,40,Truck,31,66,85,0,1,0,0,1,Low
Highway,Wet,Cloudy,110,80,Truck,30,49,95,1,0,0,0,1,Medium
Rural,Dry,Cloudy,46,40,Truck,27,63,72,0,0,0,1,1,Low
Highway,Dry,Rainy,62,80,Truck,23,80,57,0,0,1,1,0,Low
Highway,Dry,Rainy,102,80,Car,28,87,53,0,0,1,0,0,Medium
Rural,Wet,Fog,43,40,Bike,23,95,21,1,0,0,1,1,High
Rural,Dry,Storm,66,40,Bike,25,86,12,0,0,1,0,0,Medium
Rural,Dry,Sunny,33,40,Bus,30,33,88,0,1,0,0,0,Low
Urban,Dry,Cloudy,40,50,Bus,27,64,81,0,1,0,0,1,Low
Highway,Dry,Fog,119,80,Truck,20,92,18,0,0,1,0,0,Medium
Urban,Wet,Storm,63,50,Car,24,86,33,0,1,0,0,1,High
Urban,Damaged,Rainy,53,50,Bus,29,83,58,0,1,0,0,0,Medium
Highway,Wet,Storm,76,80,Truck,25,85,33,0,1,1,1,0,High
Urban,Dry,Storm,36,50,Car,27,89,36,1,0,1,1,0,Medium
Rural,Dry,Cloudy,53,40,Bike,31,42,72,1,0,0,1,1,Low
Urban,Wet,Storm,56,50,Bike,24,87,27,0,1,0,0,0,High
Urban,Dry,Sunny,35,50,Car,30,54,84,1,0,0,0,1,Low
Highway,Dry,Rainy,91,80,Truck,28,73,55,1,0,0,1,0,Medium
Urban,Wet,Fog,74,50,Truck,23,95,28,0,1,0,1,0,High
Highway,Wet,Fog,79,80,Bike,20,99,41,1,0,1,1,1,Medium
Rural,Dry,Rainy,44,40,Bus,27,75,56,1,0,1,1,1,Medium
Highway,Dry,Sunny,70,80,Truck,36,34,75,1,0,0,0,0,Low
Highway,Wet,Fog,94,80,Bike,24,99,27,1,0,1,0,1,High
Urban,Wet,Rainy,64,50,Car,29,75,43,1,1,1,1,1,High
Rural,Wet,Fog,50,40,Car,23,87,24,1,0,0,1,0,High
Rural,Wet,Fog,34,40,Car,20,95,37,0,0,0,1,1,Medium
Urban,Damaged,Sunny,57,50,Bus,34,39,95,0,1,1,1,1,Medium
Urban,Dry,Sunny,78,50,Bike,35,50,60,0,0,1,1,0,Low
Urban,Dry,Storm,48,50,Bike,23,90,31,1,0,1,0,0,Medium
